Date,Close,Open,High,Low
03/27/2023,158.28,159.94,160.77,157.87
03/24/2023,160.25,158.86,160.34,157.85
03/23/2023,158.93,158.83,161.55,157.68
03/22/2023,157.83,159.3,162.14,157.81
03/21/2023,159.28,157.32,159.4,156.54
03/20/2023,157.4,155.07,157.82,154.15
03/17/2023,155,156.08,156.74,154.28
03/16/2023,155.85,152.16,156.46,151.64
03/15/2023,152.99,151.19,153.24,149.92
03/14/2023,152.59,151.28,153.4,150.1
03/13/2023,150.47,147.8,153.14,147.7
03/10/2023,148.5,150.21,150.94,147.61
03/09/2023,150.59,153.56,154.54,150.23
03/08/2023,152.87,152.81,153.47,151.83
03/07/2023,151.6,153.7,154.03,151.13
03/06/2023,153.83,153.79,156.3,153.46
03/03/2023,151.03,148.04,151.11,147.33
03/02/2023,145.91,144.38,146.71,143.9
03/01/2023,145.31,146.83,147.23,145.01
02/28/2023,147.41,147.05,149.08,146.83
02/27/2023,147.92,147.71,149.17,147.45
02/24/2023,146.71,147.11,147.19,145.72
02/23/2023,149.4,150.09,150.34,147.24
02/22/2023,148.91,148.87,149.95,147.16
02/21/2023,148.48,150.2,151.3,148.4
02/17/2023,152.55,152.35,153,150.85
02/16/2023,153.71,153.51,156.33,153.35
02/15/2023,155.33,153.11,155.5,152.88
02/14/2023,153.2,152.12,153.77,150.86
02/13/2023,153.85,150.95,154.26,150.92
02/10/2023,151.01,149.46,151.34,149.22
02/09/2023,150.87,153.77,154.33,150.42
02/08/2023,151.92,153.88,154.58,151.17
02/07/2023,154.65,150.64,155.23,150.64
02/06/2023,151.73,152.57,153.1,150.78
02/03/2023,154.5,148.03,157.38,147.83
02/02/2023,150.82,148.9,151.18,148.17
02/01/2023,145.43,143.97,146.61,141.32
01/31/2023,144.29,142.7,144.34,142.28
01/30/2023,143,144.96,145.55,142.85
01/27/2023,145.93,143.15,147.23,143.08
01/26/2023,143.96,143.17,144.25,141.9
01/25/2023,141.86,140.89,142.43,138.81
01/24/2023,142.53,140.3,143.16,140.3
01/23/2023,141.11,138.12,143.32,137.9
01/20/2023,137.87,135.28,138.02,134.22
01/19/2023,135.27,134.08,136.25,133.77
01/18/2023,135.21,136.82,138.61,135.03
01/17/2023,135.94,134.83,137.29,134.13
01/13/2023,134.76,132.03,134.92,131.66
01/12/2023,133.41,133.88,134.26,131.44
01/11/2023,133.49,131.25,133.51,130.46
01/10/2023,130.73,130.26,131.26,128.12
01/09/2023,130.15,130.46,133.41,129.89
01/06/2023,129.62,126.01,130.29,124.89
01/05/2023,125.02,127.13,127.77,124.76
01/04/2023,126.36,126.89,128.66,125.08
01/03/2023,125.07,130.28,130.9,124.17
12/30/2022,129.93,128.41,129.95,127.43
12/29/2022,129.61,127.99,130.48,127.73
12/28/2022,126.04,129.67,131.03,125.87
12/27/2022,130.03,131.38,131.41,128.72
12/23/2022,131.86,130.92,132.41,129.64
12/22/2022,132.23,134.35,134.56,130.3
